,Tack,,
Squad,TklW,Clr,Err
gr AEK Athens,59,136,2
nl Ajax,176,218,1
es Atlético Madrid,115,158,4
es Barcelona,123,190,5
de Bayern Munich,96,119,2
pt Benfica,84,99,1
be Club Brugge,64,128,0
ru CSKA Moscow,64,164,0
de Dortmund,89,115,1
tr Galatasaray,79,84,3
de Hoffenheim,59,85,1
it Inter,70,114,3
it Juventus,106,156,0
eng Liverpool,160,250,3
ru Loko Moscow,81,122,1
fr Lyon,105,177,1
eng Manchester City,108,128,4
eng Manchester Utd,113,197,3
fr Monaco,69,106,3
it Napoli,75,92,0
fr Paris S-G,82,140,4
pt Porto,117,235,0
nl PSV Eindhoven,59,175,2
es Real Madrid,100,100,1
rs Red Star,49,187,1
it Roma,81,159,2
de Schalke 04,130,137,0
ua Shakhtar,62,116,0
eng Tottenham,141,254,2
es Valencia,55,112,4
cz Viktoria Plzeň,62,143,1
ch Young Boys,87,126,0