,Tota,Tota,Tota,,,,,,
Squad,Cmp,Att,Cmp%,Ast,xA,KP,1/3,CrsPA,Prog
gr AEK Athens,1928,2511,76.8,2,3.7,28,129,6,115
nl Ajax,5191,6484,80.1,17,16.6,136,378,18,466
es Atlético Madrid,3438,4296,80.0,8,5.8,75,296,16,308
es Barcelona,7481,8521,87.8,18,17.2,145,477,15,505
de Bayern Munich,4186,5014,83.5,9,9.0,76,282,9,310
pt Benfica,2174,2788,78.0,3,6.7,59,146,9,187
be Club Brugge,2135,2738,78.0,3,3.2,35,176,13,201
ru CSKA Moscow,2068,2685,77.0,5,4.7,64,151,9,199
de Dortmund,5267,6030,87.3,8,9.5,76,368,10,358
tr Galatasaray,2419,3028,79.9,2,5.7,54,180,6,197
de Hoffenheim,2132,2696,79.1,7,7.7,69,153,20,230
it Inter,2467,3042,81.1,4,6.9,68,173,22,189
it Juventus,4735,5667,83.6,11,12.0,122,323,26,394
eng Liverpool,5573,7072,78.8,17,14.3,136,450,34,573
ru Loko Moscow,1979,2673,74.0,2,4.6,55,184,5,210
fr Lyon,3188,3871,82.4,9,9.0,86,219,4,273
eng Manchester City,5959,6775,88.0,20,16.2,140,455,23,496
eng Manchester Utd,4121,4993,82.5,5,6.4,81,319,22,361
fr Monaco,2447,3035,80.6,1,3.0,42,172,10,224
it Napoli,3473,4159,83.5,5,7.2,72,265,19,287
fr Paris S-G,4483,5146,87.1,14,12.2,87,294,15,309
pt Porto,3813,4930,77.3,15,9.7,87,270,22,311
nl PSV Eindhoven,1461,2033,71.9,5,4.7,49,109,10,137
es Real Madrid,4705,5471,86.0,12,12.5,124,390,22,379
rs Red Star,1425,2057,69.3,3,2.1,32,74,8,98
it Roma,3324,4151,80.1,12,10.2,92,259,21,332
de Schalke 04,2429,3229,75.2,4,4.6,52,160,11,198
ua Shakhtar,2624,3125,84.0,8,4.7,55,144,4,151
eng Tottenham,5731,7044,81.4,17,14.0,155,451,24,525
es Valencia,2500,3062,81.6,2,4.4,55,190,13,256
cz Viktoria Plzeň,1783,2392,74.5,6,5.0,47,128,13,165
ch Young Boys,1948,2555,76.2,1,4.2,49,176,16,174